Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,92.419998,93.129997,92.059998,92.449997,11337200,89.38379
2014-12-30,92.769997,93.389999,92.510002,93.019997,8743400,89.934885
2014-12-29,93.330002,93.860001,92.889999,93.07,9892100,89.98323
2014-12-26,93.989998,94.43,92.620003,93.209999,10581500,90.118586
2014-12-24,94.220001,94.25,92.980003,93.779999,6875700,90.669681
2014-12-23,93.519997,95.18,93.050003,94.589996,13706500,91.452814
2014-12-22,92.959999,93.669998,92.449997,93.330002,17871800,90.234609
2014-12-19,90.209999,93.639999,89.610001,93.639999,38469000,90.534325
2014-12-18,90.370003,91.160004,88.400002,91.160004,22882700,88.136581
2014-12-17,87.239998,89.900002,87.150002,89.019997,23323000,86.06755
2014-12-16,86.379997,89.199997,86.190002,86.410004,26372400,83.54412
2014-12-15,87.529999,88.599998,86.50,86.900002,21373600,84.017866
2014-12-12,88.709999,89.00,86.599998,86.599998,24568300,83.727813
2014-12-11,88.860001,91.540001,88.849998,89.199997,21522200,86.24158
2014-12-10,90.720001,90.730003,88.199997,88.669998,22279400,85.729159
2014-12-09,91.230003,92.059998,90.760002,91.379997,15883800,88.349278
2014-12-08,92.900002,93.129997,91.370003,91.699997,15735900,88.658665
2014-12-05,93.949997,94.589996,93.349998,93.82,11831900,90.708355
2014-12-04,94.129997,94.610001,93.07,94.370003,12868600,91.240117
2014-12-03,94.669998,95.330002,94.00,94.949997,16220400,91.800875
2014-12-02,92.32,94.669998,92.010002,94.190002,20805000,91.066086
2014-12-01,90.360001,92.870003,90.279999,92.349998,27584200,89.287108
2014-11-28,91.50,91.849998,90.110001,90.540001,19556700,87.537141
2014-11-26,94.639999,95.129997,94.360001,94.480003,9822100,91.346469
2014-11-25,96.010002,96.029999,94.370003,94.779999,13747400,91.636515
2014-11-24,96.339996,96.800003,95.25,95.720001,10170600,92.545341
2014-11-21,97.199997,97.199997,96.099998,96.809998,12374200,93.599186
2014-11-20,95.370003,95.900002,95.260002,95.82,8418600,92.642023
2014-11-19,95.080002,95.739998,94.129997,95.610001,8331600,92.438989
2014-11-18,95.080002,95.75,94.529999,94.870003,9263200,91.723534
2014-11-17,94.849998,95.139999,94.190002,95.110001,8703900,91.955572
2014-11-14,94.870003,95.110001,94.650002,95.089996,9351100,91.936231
2014-11-13,94.959999,95.209999,93.830002,94.660004,12354900,91.5205
2014-11-12,95.900002,96.400002,95.110001,95.379997,11592800,92.216614
2014-11-11,95.779999,96.510002,95.610001,96.410004,7990000,93.212459
2014-11-10,96.870003,97.099998,96.07,96.279999,9087600,93.086766
2014-11-07,95.800003,97.160004,95.720001,96.589996,13233500,93.386482
2014-11-06,95.18,96.419998,94.279999,96.260002,14731400,92.400317
2014-11-05,95.360001,95.769997,94.650002,95.07,12480000,91.258029
2014-11-04,94.50,94.889999,93.889999,94.519997,13498500,90.730079
2014-11-03,96.559998,97.099998,94.800003,95.260002,13410000,91.440413
2014-10-31,94.989998,96.889999,94.309998,96.709999,17493700,92.83227
2014-10-30,93.870003,94.669998,93.220001,94.449997,9765400,90.662886
2014-10-29,95.419998,95.980003,93.620003,94.589996,12409100,90.797272
2014-10-28,94.440002,95.199997,93.93,95.099998,12564100,91.286825
2014-10-27,93.849998,93.849998,92.769997,93.709999,11387700,89.95256
2014-10-24,94.190002,94.529999,93.220001,94.489998,9734100,90.701283
2014-10-23,94.309998,94.980003,93.870003,94.110001,11345100,90.336523
2014-10-22,93.959999,94.589996,92.980003,93.129997,12733600,89.395814
2014-10-21,92.860001,94.029999,92.360001,93.650002,15757000,89.894968
2014-10-20,90.629997,91.889999,90.629997,91.769997,10821700,88.090344
2014-10-17,91.129997,92.25,90.50,91.209999,18189200,87.552801
2014-10-16,88.580002,91.269997,88.18,90.599998,25212600,86.967259
2014-10-15,89.00,90.610001,86.910004,90.220001,24703500,86.602498
2014-10-14,91.489998,92.230003,90.059998,90.550003,23120500,86.919268
2014-10-13,91.32,92.529999,90.760002,90.839996,14451100,87.197634
2014-10-10,92.440002,93.269997,90.900002,91.599998,18173100,87.927163
2014-10-09,94.050003,94.489998,91.629997,91.82,17915600,88.138343
2014-10-08,93.419998,94.830002,92.419998,94.610001,15583700,90.816474
2014-10-07,94.269997,95.190002,93.330002,93.370003,10787900,89.626196
2014-10-06,94.010002,95.330002,93.910004,94.519997,10595400,90.730079
2014-10-03,93.599998,94.110001,92.580002,93.919998,11563000,90.154139
2014-10-02,92.389999,93.900002,92.059998,93.300003,13756500,89.559003
2014-10-01,94.110001,94.540001,92.720001,92.860001,14028600,89.136643
